,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,28-01-2002,England,Green Park,No,did not bat,-,-,-,,0,,
2,31-01-2002,England,Arun Jaitley Stadium,No,c G P Thorpe b A F Giles,46,64,71.88,,46,46,71.88
3,03-02-2002,England,Wankhede Stadium,Yes,c N Hussain b A Flintoff,20,36,55.56,,66,33,66
4,07-03-2002,Zimbabwe,Nahar Singh Stadium,No,not out,39*,45,86.67,,105,52.5,72.41
5,10-03-2002,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,Yes,b G W Flower,15,19,78.95,,120,40,73.17
6,13-03-2002,Zimbabwe,Nehru Stadium (Kochi),No,c C B Wishart b H H Streak,56,78,71.79,,176,44,72.73
7,16-03-2002,Zimbabwe,Lal Bahadur Shastri Stadium,Yes,run out,68,101,67.33,,244,48.8,71.14
8,19-03-2002,Zimbabwe,Nehru Stadium (Guwahati),No,c A Flower b D T Hondo,5,6,83.33,,249,41.5,71.35
9,29-05-2002,West Indies,Kensington Oval,No,did not bat,-,-,-,,249,41.5,71.35
10,01-06-2002,West Indies,Queen's Park Oval,No,c C H Gayle b C D Collymore,12,17,70.59,,261,37.29,71.31
11,02-06-2002,West Indies,Queen's Park Oval,No,b C H Gayle,17,19,89.47,,278,34.75,72.21
12,29-06-2002,England,Lord's,No,did not bat,-,-,-,,278,34.75,72.21
13,30-06-2002,Sri Lanka,Kennington Oval,No,not out,38*,44,86.36,,316,39.5,73.66
14,04-07-2002,England,Riverside Ground,Yes,did not bat,-,-,-,,316,39.5,73.66
15,06-07-2002,Sri Lanka,Edgbaston,No,not out,7*,16,43.75,,323,40.38,72.58
16,09-07-2002,England,Kennington Oval,No,b R C Irani,1,8,12.5,,324,36,71.52
17,11-07-2002,Sri Lanka,County Ground (Bristol),Yes,c L P C Silva b D N T Zoysa,41,43,95.35,,365,36.5,73.59
18,13-07-2002,England,Lord's,No,not out,87*,75,116,,452,45.2,79.16
19,14-09-2002,Zimbabwe,R Premadasa Stadium,No,not out,111*,112,99.11,,563,56.3,82.43
20,22-09-2002,England,R Premadasa Stadium,Yes,did not bat,-,-,-,,563,56.3,82.43
21,25-09-2002,South Africa,R Premadasa Stadium,Yes,c J N Rhodes b S M Pollock,19,21,90.48,,582,52.91,82.67
22,29-09-2002,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,582,52.91,82.67
23,30-09-2002,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,582,52.91,82.67
24,06-11-2002,West Indies,Keenan Stadium,No,not out,31*,18,172.22,,613,55.73,84.9
25,09-11-2002,West Indies,Vidarbha Cricket Association Ground,No,not out,12*,9,133.33,,625,56.82,85.5
26,12-11-2002,West Indies,Madhavrao Scindia Cricket Ground,No,did not bat,-,-,-,,625,56.82,85.5
27,15-11-2002,West Indies,Sardar Patel Stadium,No,c sub b V C Drakes,8,10,80,,633,52.75,85.43
28,18-11-2002,West Indies,Reliance Stadium,No,c R R Sarwan b P T Collins,4,11,36.36,,637,49,84.71
29,21-11-2002,West Indies,Barkatullah Khan Stadium,No,c R L Powell b P T Collins,15,29,51.72,,652,46.57,83.48
30,24-11-2002,West Indies,Indira Gandhi Stadium,No,b C D Collymore,10,16,62.5,,662,44.13,83.06
31,26-12-2002,New Zealand,Eden Park,Yes,c S P Fleming b J D P Oram,6,13,46.15,,668,41.75,82.47
32,29-12-2002,New Zealand,McLean Park,No,c †B B McCullum b D R Tuffey,24,38,63.16,,692,40.71,81.6
33,01-01-2003,New Zealand,AMI Stadium,Yes,c †B B McCullum b J D P Oram,17,26,65.38,,709,39.39,81.12
34,04-01-2003,New Zealand,Queenstown Events Centre,No,c C D McMillan b A R Adams,0,4,0,,709,37.32,80.75
35,08-01-2003,New Zealand,Westpac Stadium,Yes,c S P Fleming b A R Adams,1,13,7.69,,710,35.5,79.69
36,11-01-2003,New Zealand,Eden Park,Yes,b A R Adams,7,19,36.84,,717,34.14,78.79
37,14-01-2003,New Zealand,Seddon Park,Yes,c †B B McCullum b A R Adams,0,6,0,,717,32.59,78.28
38,12-02-2003,Netherlands,Boland Park,No,c R P Lefebvre b Adeel Raja,9,21,42.86,,726,31.57,77.48
39,15-02-2003,Australia,SuperSport Park,No,c A Symonds b J N Gillespie,1,16,6.25,,727,30.29,76.29
40,19-02-2003,Zimbabwe,Harare Sports Club,No,lbw b D T Hondo,25,24,104.17,,752,30.08,76.97
41,23-02-2003,Namibia,City Oval,No,did not bat,-,-,-,,752,30.08,76.97
42,26-02-2003,England,Kingsmead,Yes,c A Flintoff b A R Caddick,5,6,83.33,,757,29.12,77.01
43,01-03-2003,Pakistan,SuperSport Park,No,b Shahid Afridi,35,60,58.33,,792,29.33,75.93
44,07-03-2003,Kenya,Newlands,Yes,lbw b T M Odoyo,5,13,38.46,,797,28.46,75.47
45,10-03-2003,Sri Lanka,Wanderers Stadium,No,b M Muralitharan,19,24,79.17,,816,28.14,75.56
46,14-03-2003,New Zealand,SuperSport Park,No,not out,68*,129,52.71,,884,30.48,73.12
47,20-03-2003,Kenya,Kingsmead,Yes,run out,15,20,75,,899,29.97,73.15
