,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03-04-1996,Sri Lanka,Padang Cricket Ground,No,c †R S Kaluwitharana b M Muralitharan,3,4,75,,3,3,75
2,05-04-1996,Pakistan,Padang Cricket Ground,No,run out,4,7,57.14,,7,3.5,63.64
3,12-04-1996,Pakistan,Sharjah Cricket Stadium,No,c †Rashid Latif b Mushtaq Ahmed,3,5,60,,10,3.33,62.5
4,14-04-1996,South Africa,Sharjah Cricket Stadium,No,c J N Rhodes b S M Pollock,11,21,52.38,,21,5.25,56.76
5,26-05-1996,England,Old Trafford,No,not out,22*,15,146.67,,43,10.75,82.69
6,28-08-1996,Sri Lanka,R Premadasa Stadium,Yes,not out,7*,4,175,,50,12.5,89.29
7,01-09-1996,Zimbabwe,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,50,12.5,89.29
8,06-09-1996,Australia,Sinhalese Sports Club Ground,No,b P R Reiffel,13,25,52,,63,12.6,77.78
9,16-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,c Aamir Sohail b Saleem Malik,39,50,78,,102,17,77.86
10,17-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,b Saqlain Mushtaq,90,114,78.95,,192,27.43,78.37
11,18-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,c Saleem Elahi b Saqlain Mushtaq,46,93,49.46,,238,29.75,70.41
12,21-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,c †Moin Khan b Saqlain Mushtaq,25,25,100,,263,29.22,72.45
13,23-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,c sub b Mushtaq Ahmed,20,39,51.28,,283,28.3,70.4
14,17-10-1996,South Africa,Lal Bahadur Shastri Stadium,Yes,c J N Rhodes b D N Crookes,62,87,71.26,,345,31.36,70.55
15,21-10-1996,Australia,M Chinnaswamy Stadium,Yes,lbw b D W Fleming,6,13,46.15,,351,29.25,69.92
16,23-10-1996,South Africa,Sawai Mansingh Stadium,No,c †D J Richardson b B M McMillan,0,1,0,,351,27,69.78
17,29-10-1996,South Africa,Madhavrao Scindia Cricket Ground,No,run out,21,40,52.5,,372,26.57,68.51
18,03-11-1996,Australia,Punjab Cricket Association IS Bindra Stadium,Yes,c M A Taylor b S G Law,56,67,83.58,,428,28.53,70.16
19,06-11-1996,South Africa,Wankhede Stadium,Yes,b P S De Villiers,31,41,75.61,,459,28.69,70.51
