,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,30-08-1996,Sri Lanka,R Premadasa Stadium,Yes,st R S Kaluwitharana b U D U Chandana,2,4,50,,2,2,50
2,07-09-1996,Sri Lanka,R Premadasa Stadium,No,st R S Kaluwitharana b M Muralitharan,15,12,125,,17,8.5,106.25
3,16-01-1997,Pakistan,Melbourne Cricket Ground,Yes,lbw b Wasim Akram,10,12,83.33,,27,9,96.43
4,11-01-1998,South Africa,Brisbane Cricket Ground,Yes,c J N Rhodes b J H Kallis,34,51,66.67,,61,15.25,77.22
5,14-01-1998,New Zealand,Sydney Cricket Ground,No,c B A Young b C D McMillan,52,69,75.36,,113,22.6,76.35
6,18-01-1998,South Africa,WACA Ground,Yes,c J N Rhodes b A A Donald,10,31,32.26,,123,20.5,68.72
7,21-01-1998,New Zealand,Melbourne Cricket Ground,No,run out,46,51,90.2,,169,24.14,73.48
8,23-01-1998,South Africa,Melbourne Cricket Ground,Yes,run out,31,49,63.27,,200,25,71.68
9,26-01-1998,South Africa,Sydney Cricket Ground,Yes,not out,17*,19,89.47,,217,27.13,72.82
10,27-01-1998,South Africa,Sydney Cricket Ground,Yes,c J N Rhodes b P L Symcox,10,22,45.45,,227,25.22,70.94
11,08-02-1998,New Zealand,AMI Stadium,Yes,not out,0*,2,0,,227,25.22,70.5
12,10-02-1998,New Zealand,Basin Reserve,No,c D L Vettori b S B O'Connor,62,66,93.94,,289,28.9,74.48
13,12-02-1998,New Zealand,McLean Park,Yes,c †A C Parore b C L Cairns,44,55,80,,333,30.27,75.17
14,14-02-1998,New Zealand,Eden Park,No,c N J Astle b M W Priest,26,43,60.47,,359,29.92,73.87
15,01-04-1998,India,Nehru Stadium (Kochi),No,lbw b S R Tendulkar,8,13,61.54,,367,28.23,73.55
16,03-04-1998,Zimbabwe,Sardar Patel Stadium,No,b H H Streak,6,15,40,,373,26.64,72.57
17,07-04-1998,India,Green Park,No,b R L Sanghvi,18,25,72,,391,26.07,72.54
18,11-04-1998,Zimbabwe,Arun Jaitley Stadium,No,did not bat,-,-,-,,391,26.07,72.54
19,14-04-1998,India,Arun Jaitley Stadium,No,not out,6*,4,150,,397,26.47,73.11
20,18-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,not out,11*,19,57.89,,408,27.2,72.6
21,19-04-1998,India,Sharjah Cricket Stadium,Yes,b Harbhajan Singh,12,15,80,,420,26.25,72.79
22,21-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,b C D McMillan,26,44,59.09,,446,26.24,71.82
23,22-04-1998,India,Sharjah Cricket Stadium,Yes,b B K V Prasad,26,27,96.3,,472,26.22,72.84
24,24-04-1998,India,Sharjah Cricket Stadium,Yes,c R L Sanghvi b A Kumble,70,59,118.64,,542,28.53,76.66
25,28-10-1998,India,Bangabandhu National Stadium,Yes,lbw b A B Agarkar,27,37,72.97,,569,28.45,76.48
