,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,18-12-1989,Pakistan,Jinnah Stadium (Gujwranwala),No,c Wasim Akram b Waqar Younis,0,2,0,,0,0,0
2,01-03-1990,New Zealand,Carisbrook,No,c & b S A Thomson,0,2,0,,0,0,0
3,06-03-1990,New Zealand,Basin Reserve,No,c †I D S Smith b S A Thomson,36,39,92.31,,36,12,83.72
4,25-04-1990,Sri Lanka,Sharjah Cricket Stadium,No,run out,10,12,83.33,,46,11.5,83.64
5,27-04-1990,Pakistan,Sharjah Cricket Stadium,No,c Saeed Anwar b Imran Khan,20,25,80,,66,13.2,82.5
6,18-07-1990,England,Headingley,No,b D E Malcolm,19,35,54.29,,85,14.17,73.91
7,20-07-1990,England,Trent Bridge,No,b A R C Fraser,31,26,119.23,,116,16.57,82.27
8,01-12-1990,Sri Lanka,Vidarbha Cricket Association Ground,No,b R J Ratnayake,36,22,163.64,,152,19,93.25
9,05-12-1990,Sri Lanka,Nehru Stadium (Pune),No,b G F Labrooy,53,41,129.27,,205,22.78,100.49
10,08-12-1990,Sri Lanka,Nehru Stadium (Margao),No,c & b S D Anurasiri,30,29,103.45,,235,23.5,100.86
11,25-12-1990,Bangladesh,Sector 16 Stadium,No,did not bat,-,-,-,,235,23.5,100.86
12,28-12-1990,Sri Lanka,Barabati Stadium,No,lbw b A Ranatunga,4,11,36.36,,239,21.73,97.95
13,04-01-1991,Sri Lanka,Eden Gardens,No,lbw b R J Ratnayake,53,70,75.71,,292,24.33,92.99
14,18-10-1991,Pakistan,Sharjah Cricket Stadium,No,not out,52*,40,130,,344,28.67,97.18
15,19-10-1991,West Indies,Sharjah Cricket Stadium,No,run out,22,27,81.48,,366,28.15,96.06
16,22-10-1991,West Indies,Sharjah Cricket Stadium,No,not out,11*,27,40.74,,377,29,92.4
17,23-10-1991,Pakistan,Sharjah Cricket Stadium,No,c sub b Saleem Malik,49,38,128.95,,426,30.43,95.52
18,25-10-1991,Pakistan,Sharjah Cricket Stadium,No,lbw b Aaqib Javed,0,1,0,,426,28.4,95.3
19,10-11-1991,South Africa,Eden Gardens,No,c R P Snell b A A Donald,62,73,84.93,,488,30.5,93.85
20,12-11-1991,South Africa,Captain Roop Singh Stadium,No,c †D J Richardson b C R Matthews,4,8,50,,492,28.94,93.18
21,14-11-1991,South Africa,Jawaharlal Nehru Stadium (Delhi),Yes,c S J Cook b A A Donald,1,3,33.33,,493,27.39,92.84
22,06-12-1991,West Indies,WACA Ground,Yes,c R B Richardson b A C Cummins,1,9,11.11,,494,26,91.48
23,08-12-1991,Australia,WACA Ground,No,c P L Taylor b T M Moody,36,65,55.38,,530,26.5,87.6
24,10-12-1991,Australia,Bellerive Oval,No,c S R Waugh b P L Taylor,57,107,53.27,,587,27.95,82.44
25,14-12-1991,West Indies,Adelaide Oval,No,c & b K L T Arthurton,48,57,84.21,,635,28.86,82.57
26,15-12-1991,Australia,Adelaide Oval,No,c D M Jones b S R Waugh,21,35,60,,656,28.52,81.59
27,11-01-1992,West Indies,Brisbane Cricket Ground,No,c sub b A C Cummins,77,127,60.63,,733,30.54,78.73
28,14-01-1992,Australia,Sydney Cricket Ground,Yes,run out,31,44,70.45,,764,30.56,78.36
29,16-01-1992,West Indies,Melbourne Cricket Ground,Yes,not out,57*,88,64.77,,821,32.84,77.23
30,18-01-1992,Australia,Melbourne Cricket Ground,Yes,c M R Whitney b T M Moody,4,10,40,,825,31.73,76.89
31,20-01-1992,Australia,Sydney Cricket Ground,Yes,c M R Whitney b S R Waugh,69,100,69,,894,33.11,76.21
32,22-02-1992,England,WACA Ground,Yes,c †A J Stewart b I T Botham,35,44,79.55,,929,33.18,76.34
33,28-02-1992,Sri Lanka,Harrup Park,No,did not bat,-,-,-,,929,33.18,76.34
34,01-03-1992,Australia,Brisbane Cricket Ground,No,c S R Waugh b T M Moody,11,19,57.89,,940,32.41,76.05
35,04-03-1992,Pakistan,Sydney Cricket Ground,Yes,not out,54*,62,87.1,,994,34.28,76.58
36,07-03-1992,Zimbabwe,Seddon Park,No,c A D R Campbell b M G Burmester,81,77,105.19,,1075,35.83,78.18
37,10-03-1992,West Indies,Basin Reserve,No,c †D Williams b C E L Ambrose,4,11,36.36,,1079,34.81,77.85
