,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,25-10-1996,South Africa,Nahar Singh Stadium,No,b A A Donald,18,22,81.82,,18,18,81.82
2,01-11-1996,South Africa,Nehru Stadium (Guwahati),No,run out,0,1,0,,18,9,78.26
3,29-03-1997,South Africa,Buffalo Park,No,run out,1,2,50,,19,6.33,76
4,31-03-1997,South Africa,St George's Park,No,did not bat,-,-,-,,19,6.33,76
5,05-04-1997,South Africa,Kingsmead,Yes,c W J Cronje b S M Pollock,77,88,87.5,,96,24,84.96
6,08-04-1997,South Africa,Wanderers Stadium,Yes,b S M Pollock,26,17,152.94,,122,24.4,93.85
7,10-04-1997,South Africa,SuperSport Park,Yes,not out,20*,18,111.11,,142,28.4,95.95
8,13-04-1997,South Africa,Mangaung Oval,No,b P L Symcox,3,10,30,,145,24.17,91.77
9,24-05-1997,England,Kennington Oval,No,lbw b A J Hollioake,53,50,106,,198,28.29,95.19
10,25-05-1997,England,Lord's,No,lbw b M A Ealham,33,42,78.57,,231,28.88,92.4
11,04-12-1997,South Africa,Sydney Cricket Ground,Yes,c & b D J Cullinan,4,10,40,,235,26.11,90.38
12,07-12-1997,New Zealand,Adelaide Oval,Yes,run out,29,44,65.91,,264,26.4,86.84
13,09-12-1997,South Africa,Melbourne Cricket Ground,Yes,not out,29*,57,50.88,,293,29.3,81.16
14,17-12-1997,New Zealand,Melbourne Cricket Ground,Yes,not out,11*,21,52.38,,304,30.4,79.58
15,11-01-1998,South Africa,Brisbane Cricket Ground,Yes,c A A Donald b S M Pollock,21,35,60,,325,29.55,77.94
16,14-01-1998,New Zealand,Sydney Cricket Ground,No,c C D McMillan b S B O'Connor,28,28,100,,353,29.42,79.33
17,18-01-1998,South Africa,WACA Ground,Yes,c A A Donald b P L Symcox,6,26,23.08,,359,27.62,76.22
18,21-01-1998,New Zealand,Melbourne Cricket Ground,No,did not bat,-,-,-,,359,27.62,76.22
19,23-01-1998,South Africa,Melbourne Cricket Ground,Yes,c P L Symcox b S M Pollock,20,27,74.07,,379,27.07,76.1
20,26-01-1998,South Africa,Sydney Cricket Ground,Yes,b B M McMillan,100,104,96.15,,479,31.93,79.57
21,27-01-1998,South Africa,Sydney Cricket Ground,Yes,b B M McMillan,6,15,40,,485,30.31,78.61
22,08-02-1998,New Zealand,AMI Stadium,Yes,c C L Cairns b C D McMillan,118,117,100.85,,603,35.47,82.15
23,10-02-1998,New Zealand,Basin Reserve,No,c C D McMillan b S B O'Connor,0,2,0,,603,33.5,81.93
24,12-02-1998,New Zealand,McLean Park,Yes,c C L Cairns b D J Nash,40,47,85.11,,643,33.84,82.12
25,14-02-1998,New Zealand,Eden Park,No,c †A C Parore b D J Nash,42,40,105,,685,34.25,83.23
26,01-04-1998,India,Nehru Stadium (Kochi),No,c M Azharuddin b A B Agarkar,61,45,135.56,,746,35.52,85.94
27,03-04-1998,Zimbabwe,Sardar Patel Stadium,No,lbw b H H Streak,12,22,54.55,,758,34.45,85.17
28,07-04-1998,India,Green Park,No,c M Azharuddin b A B Agarkar,11,14,78.57,,769,33.43,85.07
29,11-04-1998,Zimbabwe,Arun Jaitley Stadium,No,c †A Flower b M Mbangwa,1,5,20,,770,32.08,84.71
30,14-04-1998,India,Arun Jaitley Stadium,No,c S R Tendulkar b A B Agarkar,1,2,50,,771,30.84,84.63
31,18-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,c N J Astle b C Z Harris,57,89,64.04,,828,31.85,82.8
32,19-04-1998,India,Sharjah Cricket Stadium,Yes,c H H Kanitkar b Harbhajan Singh,25,29,86.21,,853,31.59,82.9
33,21-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,not out,11*,9,122.22,,864,32,83.24
34,22-04-1998,India,Sharjah Cricket Stadium,Yes,c †N R Mongia b Harvinder Singh,11,13,84.62,,875,31.25,83.25
35,24-04-1998,India,Sharjah Cricket Stadium,Yes,c †N R Mongia b H H Kanitkar,45,60,75,,920,31.72,82.81
36,28-10-1998,India,Bangabandhu National Stadium,Yes,b J Srinath,25,26,96.15,,945,31.5,83.11
37,06-11-1998,Pakistan,National Stadium (Karachi),No,c Azam Khan b Shoaib Akhtar,45,36,125,,990,31.94,84.4
38,08-11-1998,Pakistan,Arbab Niaz Stadium,No,c & b Saqlain Mushtaq,42,48,87.5,,1032,32.25,84.52
39,10-11-1998,Pakistan,Gaddafi Stadium,No,st Moin Khan b Aamir Sohail,103,104,99.04,,1135,34.39,85.66
40,10-01-1999,England,Brisbane Cricket Ground,Yes,b A D Mullally,13,11,118.18,,1148,33.76,85.93
41,13-01-1999,Sri Lanka,Sydney Cricket Ground,Yes,c M S Atapattu b W P U J C Vaas,131,118,111.02,,1279,36.54,87.96
42,15-01-1999,England,Melbourne Cricket Ground,Yes,b A D Mullally,21,28,75,,1300,36.11,87.72
43,17-01-1999,England,Sydney Cricket Ground,Yes,c N Hussain b D Gough,6,7,85.71,,1306,35.3,87.71
44,21-01-1999,Sri Lanka,Bellerive Oval,No,b W P U J C Vaas,12,27,44.44,,1318,34.68,86.94
45,24-01-1999,Sri Lanka,Adelaide Oval,Yes,c M Muralitharan b G P Wickramasinghe,41,36,113.89,,1359,34.85,87.56
46,26-01-1999,England,Adelaide Oval,Yes,b D Gough,0,3,0,,1359,33.98,87.4
47,31-01-1999,Sri Lanka,WACA Ground,No,b W P U J C Vaas,47,45,104.44,,1406,34.29,87.88
48,05-02-1999,England,Sydney Cricket Ground,Yes,b A D Mullally,19,37,51.35,,1425,33.93,87.05
49,07-02-1999,Sri Lanka,Melbourne Cricket Ground,Yes,c H P Tillakaratne b W P U J C Vaas,154,129,119.38,,1579,36.72,89.41
50,10-02-1999,England,Sydney Cricket Ground,Yes,b D Gough,29,30,96.67,,1608,36.55,89.53
51,13-02-1999,England,Melbourne Cricket Ground,Yes,c N V Knight b R D B Croft,52,64,81.25,,1660,36.89,89.25
52,11-04-1999,West Indies,Arnos Vale Ground,No,c †J C Adams b M V Dillon,2,8,25,,1662,36.13,88.97
53,14-04-1999,West Indies,National Cricket Stadium (Grenada),No,c S Chanderpaul b C L Hooper,17,26,65.38,,1679,35.72,88.65
54,17-04-1999,West Indies,Queen's Park Oval,No,c C E L Ambrose b N O Perry,43,65,66.15,,1722,35.88,87.9
55,18-04-1999,West Indies,Queen's Park Oval,No,lbw b C A Walsh,25,26,96.15,,1747,35.65,88.01
56,21-04-1999,West Indies,Bourda,No,run out,44,43,102.33,,1791,35.82,88.31
57,24-04-1999,West Indies,Kensington Oval,No,c †R D Jacobs b H R Bryan,64,55,116.36,,1855,36.37,89.05
58,25-04-1999,West Indies,Kensington Oval,No,c C E L Ambrose b M V Dillon,6,5,120,,1861,35.79,89.13
59,16-05-1999,Scotland,New Road,No,c I L Philip b Asim Butt,6,16,37.5,,1867,35.23,88.74
60,20-05-1999,New Zealand,Sophia Gardens,No,c N J Astle b G I Allott,14,28,50,,1881,34.83,88.23
61,23-05-1999,Pakistan,Headingley,No,b Wasim Akram,0,3,0,,1881,34.2,88.1
62,27-05-1999,Bangladesh,Riverside Ground,No,st Khaled Mashud b Minhajul Abedin,63,39,161.54,,1944,34.71,89.42
63,30-05-1999,West Indies,Old Trafford,No,b C E L Ambrose,21,36,58.33,,1965,34.47,88.91
64,04-06-1999,India,Kennington Oval,No,c D S Mohanty b S C Ganguly,31,52,59.62,,1996,34.41,88.24
65,09-06-1999,Zimbabwe,Lord's,No,lbw b N C Johnson,10,28,35.71,,2006,34,87.6
66,13-06-1999,South Africa,Headingley,No,b S Elworthy,5,7,71.43,,2011,33.52,87.55
67,17-06-1999,South Africa,Edgbaston,No,c A A Donald b J H Kallis,20,39,51.28,,2031,33.3,86.94
68,20-06-1999,Pakistan,Lord's,No,c Inzamam-ul-Haq b Saqlain Mushtaq,54,36,150,,2085,33.63,87.9
69,22-08-1999,Sri Lanka,Galle International Stadium,No,run out,27,31,87.1,,2112,33.52,87.89
70,23-08-1999,India,Galle International Stadium,No,c R Dravid b S C Ganguly,68,92,73.91,,2180,34.06,87.37
71,26-08-1999,Sri Lanka,R Premadasa Stadium,Yes,c M Muralitharan b D P M D Jayawardene,38,50,76,,2218,34.12,87.15
72,28-08-1999,India,Sinhalese Sports Club Ground,No,c J Srinath b N Chopra,77,84,91.67,,2295,34.77,87.3
