,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,18-10-1991,Pakistan,Sharjah Cricket Stadium,No,did not bat,-,-,-,,0,,
2,23-10-1991,Pakistan,Sharjah Cricket Stadium,No,did not bat,-,-,-,,0,,
3,25-10-1991,Pakistan,Sharjah Cricket Stadium,No,c Wasim Akram b Akram Raza,14,34,41.18,,14,14,41.18
4,10-11-1991,South Africa,Eden Gardens,No,did not bat,-,-,-,,14,14,41.18
5,12-11-1991,South Africa,Captain Roop Singh Stadium,No,did not bat,-,-,-,,14,14,41.18
6,14-11-1991,South Africa,Jawaharlal Nehru Stadium (Delhi),Yes,did not bat,-,-,-,,14,14,41.18
7,06-12-1991,West Indies,WACA Ground,Yes,run out,0,1,0,,14,7,40
8,08-12-1991,Australia,WACA Ground,No,did not bat,-,-,-,,14,7,40
9,10-12-1991,Australia,Bellerive Oval,No,not out,2*,2,100,,16,8,43.24
10,14-12-1991,West Indies,Adelaide Oval,No,did not bat,-,-,-,,16,8,43.24
11,15-12-1991,Australia,Adelaide Oval,No,run out,8,19,42.11,,24,8,42.86
12,11-01-1992,West Indies,Brisbane Cricket Ground,No,c †D Williams b A C Cummins,0,1,0,,24,6,42.11
13,14-01-1992,Australia,Sydney Cricket Ground,Yes,b S R Waugh,5,6,83.33,,29,5.8,46.03
14,16-01-1992,West Indies,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,29,5.8,46.03
15,18-01-1992,Australia,Melbourne Cricket Ground,Yes,run out,0,3,0,,29,4.83,43.94
16,20-01-1992,Australia,Sydney Cricket Ground,Yes,did not bat,-,-,-,,29,4.83,43.94
17,22-02-1992,England,WACA Ground,Yes,run out,11,8,137.5,,40,5.71,54.05
18,28-02-1992,Sri Lanka,Harrup Park,No,did not bat,-,-,-,,40,5.71,54.05
19,01-03-1992,Australia,Brisbane Cricket Ground,No,not out,8*,8,100,,48,6.86,58.54
20,04-03-1992,Pakistan,Sydney Cricket Ground,Yes,did not bat,-,-,-,,48,6.86,58.54
21,07-03-1992,Zimbabwe,Seddon Park,No,not out,6*,4,150,,54,7.71,62.79
22,10-03-1992,West Indies,Basin Reserve,No,not out,5*,5,100,,59,8.43,64.84
23,12-03-1992,New Zealand,Carisbrook,No,not out,4*,3,133.33,,63,9,67.02
24,15-03-1992,South Africa,Adelaide Oval,No,not out,0*,0,-,,63,9,67.02
25,25-10-1992,Zimbabwe,Harare Sports Club,No,not out,1*,1,100,,64,9.14,67.37
26,07-12-1992,South Africa,Newlands,Yes,run out,0,0,-,,64,8,67.37
27,09-12-1992,South Africa,St George's Park,Yes,not out,1*,1,100,,65,8.13,67.71
28,11-12-1992,South Africa,SuperSport Park,Yes,did not bat,-,-,-,,65,8.13,67.71
29,13-12-1992,South Africa,Wanderers Stadium,Yes,c J N Rhodes b B M McMillan,3,5,60,,68,7.56,67.33
30,15-12-1992,South Africa,Mangaung Oval,Yes,did not bat,-,-,-,,68,7.56,67.33
31,18-01-1993,England,Sawai Mansingh Stadium,No,did not bat,-,-,-,,68,7.56,67.33
32,21-01-1993,England,Sector 16 Stadium,No,did not bat,-,-,-,,68,7.56,67.33
33,26-02-1993,England,M Chinnaswamy Stadium,No,c G A Hick b D E Malcolm,2,7,28.57,,70,7,64.81
34,01-03-1993,England,Keenan Stadium,No,did not bat,-,-,-,,70,7,64.81
35,04-03-1993,England,Captain Roop Singh Stadium,No,did not bat,-,-,-,,70,7,64.81
36,05-03-1993,England,Captain Roop Singh Stadium,No,did not bat,-,-,-,,70,7,64.81
37,19-03-1993,Zimbabwe,Nahar Singh Stadium,No,did not bat,-,-,-,,70,7,64.81
38,22-03-1993,Zimbabwe,Nehru Stadium (Guwahati),No,did not bat,-,-,-,,70,7,64.81
39,25-03-1993,Zimbabwe,Nehru Stadium (Pune),No,did not bat,-,-,-,,70,7,64.81
40,25-07-1993,Sri Lanka,R Premadasa Stadium,No,did not bat,-,-,-,,70,7,64.81
41,12-08-1993,Sri Lanka,R Premadasa Stadium,Yes,not out,0*,2,0,,70,7,63.64
42,14-08-1993,Sri Lanka,Tyronne Fernando Stadium,No,not out,5*,2,250,,75,7.5,66.96
43,07-11-1993,Sri Lanka,Green Park,No,did not bat,-,-,-,,75,7.5,66.96
44,16-11-1993,West Indies,Sardar Patel Stadium,No,c R A Harper b C L Hooper,2,8,25,,77,7,64.17
45,18-11-1993,Zimbabwe,Nehru Stadium (Indore),No,did not bat,-,-,-,,77,7,64.17
46,22-11-1993,South Africa,Punjab Cricket Association IS Bindra Stadium,No,c A C Hudson b R P Snell,1,4,25,,78,6.5,62.9
47,24-11-1993,South Africa,Eden Gardens,Yes,b P S De Villiers,4,6,66.67,,82,6.31,63.08
48,27-11-1993,West Indies,Eden Gardens,Yes,did not bat,-,-,-,,82,6.31,63.08
49,15-02-1994,Sri Lanka,Madhavrao Scindia Cricket Ground,No,did not bat,-,-,-,,82,6.31,63.08
50,18-02-1994,Sri Lanka,Lal Bahadur Shastri Stadium,No,did not bat,-,-,-,,82,6.31,63.08
51,20-02-1994,Sri Lanka,Gandhi Stadium,No,c D P Samaraweera b P A de Silva,7,14,50,,89,6.36,61.81
52,25-03-1994,New Zealand,McLean Park,No,c B R Hartland b C Pringle,4,5,80,,93,6.2,62.42
53,27-03-1994,New Zealand,Eden Park,No,did not bat,-,-,-,,93,6.2,62.42
54,30-03-1994,New Zealand,Basin Reserve,No,did not bat,-,-,-,,93,6.2,62.42
55,02-04-1994,New Zealand,AMI Stadium,No,did not bat,-,-,-,,93,6.2,62.42
56,13-04-1994,United Arab Emirates,Sharjah Cricket Stadium,No,did not bat,-,-,-,,93,6.2,62.42
57,15-04-1994,Pakistan,Sharjah Cricket Stadium,No,not out,1*,2,50,,94,6.27,62.25
58,19-04-1994,Australia,Sharjah Cricket Stadium,No,did not bat,-,-,-,,94,6.27,62.25
59,22-04-1994,Pakistan,Sharjah Cricket Stadium,No,not out,6*,9,66.67,,100,6.67,62.5
60,04-09-1994,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,100,6.67,62.5
61,05-09-1994,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,100,6.67,62.5
62,17-10-1994,West Indies,Nahar Singh Stadium,No,c P V Simmons b C L Hooper,0,3,0,,100,6.25,61.35
63,20-10-1994,West Indies,Wankhede Stadium,No,did not bat,-,-,-,,100,6.25,61.35
64,23-10-1994,West Indies,MA Chidambaram Stadium,No,did not bat,-,-,-,,100,6.25,61.35
65,28-10-1994,New Zealand,Reliance Stadium,No,did not bat,-,-,-,,100,6.25,61.35
66,30-10-1994,West Indies,Green Park,No,did not bat,-,-,-,,100,6.25,61.35
67,03-11-1994,New Zealand,Arun Jaitley Stadium,No,did not bat,-,-,-,,100,6.25,61.35
68,05-11-1994,West Indies,Eden Gardens,Yes,did not bat,-,-,-,,100,6.25,61.35
69,07-11-1994,West Indies,Indira Priyadarshini Stadium,No,did not bat,-,-,-,,100,6.25,61.35
70,09-11-1994,West Indies,Barabati Stadium,No,did not bat,-,-,-,,100,6.25,61.35
71,11-11-1994,West Indies,Sawai Mansingh Stadium,No,did not bat,-,-,-,,100,6.25,61.35
72,16-02-1995,New Zealand,McLean Park,No,run out,2,2,100,,102,6,61.82
73,18-02-1995,South Africa,Seddon Park,No,c E O Simons b A A Donald,37,25,148,,139,7.72,73.16
74,22-02-1995,Australia,Carisbrook,No,did not bat,-,-,-,,139,7.72,73.16
75,05-04-1995,Bangladesh,Sharjah Cricket Stadium,No,did not bat,-,-,-,,139,7.72,73.16
76,07-04-1995,Pakistan,Sharjah Cricket Stadium,No,c & b Aaqib Javed,0,3,0,,139,7.32,72.02
77,09-04-1995,Sri Lanka,Sharjah Cricket Stadium,No,not out,14*,12,116.67,,153,8.05,74.63
78,14-04-1995,Sri Lanka,Sharjah Cricket Stadium,No,did not bat,-,-,-,,153,8.05,74.63
79,15-11-1995,New Zealand,Keenan Stadium,No,not out,17*,17,100,,170,8.95,76.58
80,18-11-1995,New Zealand,Gandhi Sports Complex Ground,No,did not bat,-,-,-,,170,8.95,76.58
