,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
56,11-01-2003,New Zealand,Eden Park,Yes,c S P Fleming b K D Mills,112,139,80.58,,1776,37,99.72
57,14-01-2003,New Zealand,Seddon Park,Yes,c †B B McCullum b K D Mills,4,19,21.05,,1780,36.33,98.89
58,12-02-2003,Netherlands,Boland Park,No,c B Zuiderent b J F Kloppenburg,6,9,66.67,,1786,35.72,98.73
59,15-02-2003,Australia,SuperSport Park,No,c †A C Gilchrist b B Lee,4,4,100,,1790,35.1,98.73
60,19-02-2003,Zimbabwe,Harare Sports Club,No,c †T Taibu b G J Whittall,36,38,94.74,,1826,35.12,98.65
61,23-02-2003,Namibia,City Oval,No,c D Keulder b R J van Vuuren,24,24,100,,1850,34.91,98.67
62,26-02-2003,England,Kingsmead,Yes,c & b A Flintoff,23,29,79.31,,1873,34.69,98.37
63,01-03-2003,Pakistan,SuperSport Park,No,c Shahid Afridi b Waqar Younis,21,14,150,,1894,34.44,98.75
64,07-03-2003,Kenya,Newlands,Yes,c S O Tikolo b T M Odoyo,3,8,37.5,,1897,33.88,98.49
65,10-03-2003,Sri Lanka,Wanderers Stadium,No,c P A de Silva b M Muralitharan,66,76,86.84,,1963,34.44,98.05
66,14-03-2003,New Zealand,SuperSport Park,No,c S B Styris b S E Bond,1,6,16.67,,1964,33.86,97.81
67,20-03-2003,Kenya,Kingsmead,Yes,c M O Odumbe b P J Ongondo,33,56,58.93,,1997,33.85,96.75
