,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,26-08-1996,Zimbabwe,R Premadasa Stadium,Yes,not out,11*,14,78.57,,11,,78.57
2,06-09-1996,India,Sinhalese Sports Club Ground,No,b A Kumble,2,4,50,,13,13,72.22
3,19-10-1996,South Africa,Nehru Stadium (Indore),No,not out,11*,15,73.33,,24,24,72.73
4,21-10-1996,India,M Chinnaswamy Stadium,Yes,not out,3*,2,150,,27,27,77.14
5,25-10-1996,South Africa,Nahar Singh Stadium,No,lbw b A A Donald,0,1,0,,27,13.5,75
6,01-11-1996,South Africa,Nehru Stadium (Guwahati),No,not out,0*,0,-,,27,13.5,75
7,03-11-1996,India,Punjab Cricket Association IS Bindra Stadium,Yes,run out,11,14,78.57,,38,12.67,76
8,22-12-2002,Sri Lanka,WACA Ground,Yes,did not bat,-,-,-,,38,12.67,76
9,09-01-2003,Sri Lanka,Sydney Cricket Ground,Yes,st K C Sangakkara b M Muralitharan,4,7,57.14,,42,10.5,73.68
10,11-01-2003,England,Bellerive Oval,No,did not bat,-,-,-,,42,10.5,73.68
11,15-01-2003,Sri Lanka,Brisbane Cricket Ground,Yes,not out,14*,15,93.33,,56,14,77.78
12,19-01-2003,England,Adelaide Oval,Yes,did not bat,-,-,-,,56,14,77.78
13,21-01-2003,Sri Lanka,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,56,14,77.78
14,23-01-2003,England,Sydney Cricket Ground,Yes,did not bat,-,-,-,,56,14,77.78
15,25-01-2003,England,Melbourne Cricket Ground,Yes,not out,71*,77,92.21,,127,31.75,85.23
16,11-02-2003,Pakistan,Wanderers Stadium,No,run out,14,22,63.64,,141,28.2,82.46
17,15-02-2003,India,SuperSport Park,No,did not bat,-,-,-,,141,28.2,82.46
18,24-02-2003,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,141,28.2,82.46
19,27-02-2003,Namibia,Senwes Park,No,not out,19*,14,135.71,,160,32,86.49
20,02-03-2003,England,St George's Park,No,c †A J Stewart b A F Giles,1,3,33.33,,161,26.83,85.64
21,07-03-2003,Sri Lanka,SuperSport Park,No,did not bat,-,-,-,,161,26.83,85.64
22,11-03-2003,New Zealand,St George's Park,No,lbw b S E Bond,0,1,0,,161,23,85.19
23,15-03-2003,Kenya,Kingsmead,Yes,c & b A Y A Karim,0,3,0,,161,20.13,83.85
24,18-03-2003,Sri Lanka,St George's Park,No,st K C Sangakkara b P A de Silva,8,19,42.11,,169,18.78,80.09
