,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,11-01-1992,West Indies,Brisbane Cricket Ground,No,lbw b A C Cummins,3,13,23.08,,3,3,23.08
2,26-05-1996,England,Old Trafford,No,st A J Stewart b G P Thorpe,46,83,55.42,,49,24.5,51.04
3,28-08-1996,Sri Lanka,R Premadasa Stadium,Yes,c P A de Silva b H D P K Dharmasena,16,41,39.02,,65,21.67,47.45
4,01-09-1996,Zimbabwe,Sinhalese Sports Club Ground,No,c B C Strang b P A Strang,36,52,69.23,,101,25.25,53.44
5,06-09-1996,Australia,Sinhalese Sports Club Ground,No,lbw b M G Bevan,59,75,78.67,,160,32,60.61
6,16-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,did not bat,-,-,-,,160,32,60.61
7,17-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,not out,11*,8,137.5,,171,34.2,62.87
8,23-09-1996,Pakistan,"Cricket, Skating & Curling Club",No,lbw b Aamir Sohail,12,21,57.14,,183,30.5,62.46
9,17-10-1996,South Africa,Lal Bahadur Shastri Stadium,Yes,c P L Symcox b A A Donald,31,42,73.81,,214,30.57,63.88
10,21-10-1996,Australia,M Chinnaswamy Stadium,Yes,run out,4,4,100,,218,27.25,64.31
11,23-10-1996,South Africa,Sawai Mansingh Stadium,No,b A A Donald,54,104,51.92,,272,30.22,61.4
12,23-01-1997,South Africa,Mangaung Oval,Yes,c J N Rhodes b A A Donald,40,64,62.5,,312,31.2,61.54
13,27-01-1997,Zimbabwe,Boland Park,Yes,c G W Flower b C N Evans,38,79,48.1,,350,31.82,59.73
14,02-02-1997,South Africa,St George's Park,No,run out,0,4,0,,350,29.17,59.32
15,04-02-1997,South Africa,Buffalo Park,Yes,run out,83,136,61.03,,433,33.31,59.64
16,07-02-1997,Zimbabwe,SuperSport Park,Yes,c P A Strang b G J Whittall,31,44,70.45,,464,33.14,60.26
17,09-02-1997,Zimbabwe,Willowmoore Park,No,c S V Carlisle b J A Rennie,12,14,85.71,,476,31.73,60.71
18,12-02-1997,South Africa,Kingsmead,Yes,run out,18,43,41.86,,494,30.88,59.73
