,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,05-01-1997,West Indies,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,0,,
2,07-01-1997,Pakistan,Bellerive Oval,No,lbw b Shahid Afridi,2,11,18.18,,2,2,18.18
3,12-01-1997,West Indies,WACA Ground,No,did not bat,-,-,-,,2,2,18.18
4,16-01-1997,Pakistan,Melbourne Cricket Ground,Yes,not out,16*,25,64,,18,18,50
5,05-04-1997,South Africa,Kingsmead,Yes,lbw b S M Pollock,17,22,77.27,,35,17.5,60.34
6,08-04-1997,South Africa,Wanderers Stadium,Yes,did not bat,-,-,-,,35,17.5,60.34
7,10-04-1997,South Africa,SuperSport Park,Yes,did not bat,-,-,-,,35,17.5,60.34
8,13-04-1997,South Africa,Mangaung Oval,No,b L Klusener,0,6,0,,35,11.67,54.69
9,04-12-1997,South Africa,Sydney Cricket Ground,Yes,run out,3,12,25,,38,9.5,50
10,07-12-1997,New Zealand,Adelaide Oval,Yes,not out,4*,1,400,,42,10.5,54.55
11,09-12-1997,South Africa,Melbourne Cricket Ground,Yes,c B M McMillan b L Klusener,0,2,0,,42,8.4,53.16
12,17-12-1997,New Zealand,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,42,8.4,53.16
13,11-01-1998,South Africa,Brisbane Cricket Ground,Yes,not out,9*,9,100,,51,10.2,57.95
14,18-01-1998,South Africa,WACA Ground,Yes,not out,27*,38,71.05,,78,15.6,61.9
15,10-02-1998,New Zealand,Basin Reserve,No,did not bat,-,-,-,,78,15.6,61.9
16,12-02-1998,New Zealand,McLean Park,Yes,c S P Fleming b C L Cairns,0,1,0,,78,13,61.42
17,14-02-1998,New Zealand,Eden Park,No,c C L Cairns b C Z Harris,21,37,56.76,,99,14.14,60.37
18,13-01-2002,South Africa,Melbourne Cricket Ground,Yes,lbw b S M Pollock,17,15,113.33,,116,14.5,64.8
19,20-01-2002,South Africa,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,116,14.5,64.8
20,22-01-2002,South Africa,Sydney Cricket Ground,No,did not bat,-,-,-,,116,14.5,64.8
21,26-01-2002,New Zealand,Adelaide Oval,Yes,c N J Astle b S E Bond,7,29,24.14,,123,13.67,59.13
22,29-01-2002,New Zealand,Melbourne Cricket Ground,Yes,not out,13*,5,260,,136,15.11,63.85
23,03-02-2002,South Africa,WACA Ground,No,did not bat,-,-,-,,136,15.11,63.85
24,22-03-2002,South Africa,Wanderers Stadium,No,c R Telemachus b J H Kallis,19,21,90.48,,155,15.5,66.24
25,24-03-2002,South Africa,SuperSport Park,No,b S M Pollock,7,7,100,,162,14.73,67.22
26,27-03-2002,South Africa,Senwes Park,No,b M Ntini,7,9,77.78,,169,14.08,67.6
27,09-04-2002,South Africa,Newlands,Yes,not out,15*,16,93.75,,184,15.33,69.17
28,12-06-2002,Pakistan,Etihad Stadium,Yes,did not bat,-,-,-,,184,15.33,69.17
29,15-06-2002,Pakistan,Etihad Stadium,Yes,b Shoaib Akhtar,7,16,43.75,,191,14.69,67.73
30,19-06-2002,Pakistan,Brisbane Cricket Ground,Yes,c Shoaib Akhtar b Shahid Afridi,0,4,0,,191,13.64,66.78
31,30-08-2002,Pakistan,Gymkhana Club Ground,No,did not bat,-,-,-,,191,13.64,66.78
32,05-09-2002,Kenya,Gymkhana Club Ground,No,did not bat,-,-,-,,191,13.64,66.78
33,22-12-2002,Sri Lanka,WACA Ground,Yes,did not bat,-,-,-,,191,13.64,66.78
34,09-01-2003,Sri Lanka,Sydney Cricket Ground,Yes,c †K C Sangakkara b P W Gunaratne,28,24,116.67,,219,14.6,70.65
35,11-01-2003,England,Bellerive Oval,No,did not bat,-,-,-,,219,14.6,70.65
36,21-01-2003,Sri Lanka,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,219,14.6,70.65
37,23-01-2003,England,Sydney Cricket Ground,Yes,did not bat,-,-,-,,219,14.6,70.65
38,25-01-2003,England,Melbourne Cricket Ground,Yes,not out,11*,10,110,,230,15.33,71.88
39,20-02-2003,Netherlands,Senwes Park,No,did not bat,-,-,-,,230,15.33,71.88
40,27-02-2003,Namibia,Senwes Park,No,did not bat,-,-,-,,230,15.33,71.88
41,02-03-2003,England,St George's Park,No,not out,34*,36,94.44,,264,17.6,74.16
42,07-03-2003,Sri Lanka,SuperSport Park,No,did not bat,-,-,-,,264,17.6,74.16
43,11-03-2003,New Zealand,St George's Park,No,c C L Cairns b J D P Oram,64,83,77.11,,328,20.5,74.72
44,15-03-2003,Kenya,Kingsmead,Yes,did not bat,-,-,-,,328,20.5,74.72
45,18-03-2003,Sri Lanka,St George's Park,No,not out,19*,21,90.48,,347,21.69,75.43
