,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,08-12-1992,West Indies,Sydney Cricket Ground,Yes,b C E L Ambrose,0,3,0,,0,0,0
2,10-12-1992,Pakistan,Bellerive Oval,No,run out,5,10,50,,5,2.5,38.46
3,13-12-1992,Pakistan,Adelaide Oval,No,did not bat,-,-,-,,5,2.5,38.46
4,15-12-1992,West Indies,Melbourne Cricket Ground,Yes,c †J R Murray b C E L Ambrose,40,49,81.63,,45,15,72.58
5,19-03-1993,New Zealand,Carisbrook,No,b J W Wilson,22,16,137.5,,67,16.75,85.9
6,21-03-1993,New Zealand,AMI Stadium,No,c A H Jones b C Z Harris,1,8,12.5,,68,13.6,79.07
7,27-03-1993,New Zealand,Seddon Park,No,c †T E Blain b D K Morrison,17,17,100,,85,14.17,82.52
8,23-05-1993,England,Lord's,No,not out,51*,43,118.6,,136,22.67,93.15
9,09-01-1994,South Africa,Brisbane Cricket Ground,No,c W J Cronje b D B Rundle,23,37,62.16,,159,22.71,86.89
10,11-01-1994,New Zealand,Sydney Cricket Ground,Yes,run out,7,18,38.89,,166,20.75,82.59
11,16-01-1994,South Africa,WACA Ground,No,c †D J Richardson b W J Cronje,0,7,0,,166,18.44,79.81
12,01-04-1998,India,Nehru Stadium (Kochi),No,c J Srinath b S R Tendulkar,2,6,33.33,,168,16.8,78.5
13,11-04-1998,Zimbabwe,Arun Jaitley Stadium,No,not out,8*,8,100,,176,17.6,79.28
14,14-04-1998,India,Arun Jaitley Stadium,No,did not bat,-,-,-,,176,17.6,79.28
15,19-04-1998,India,Sharjah Cricket Stadium,Yes,run out,30,28,107.14,,206,18.73,82.4
16,21-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,c C Z Harris b S B Doull,16,24,66.67,,222,18.5,81.02
17,22-04-1998,India,Sharjah Cricket Stadium,Yes,b A Kumble,1,3,33.33,,223,17.15,80.51
18,24-04-1998,India,Sharjah Cricket Stadium,Yes,run out,16,18,88.89,,239,17.07,81.02
19,28-10-1998,India,Bangabandhu National Stadium,Yes,c A Jadeja b S R Tendulkar,24,17,141.18,,263,17.53,84.29
20,06-11-1998,Pakistan,National Stadium (Karachi),No,c & b Wasim Akram,13,12,108.33,,276,17.25,85.19
21,08-11-1998,Pakistan,Arbab Niaz Stadium,No,c †Moin Khan b Wasim Akram,4,20,20,,280,16.47,81.4
22,10-01-1999,England,Brisbane Cricket Ground,Yes,b A D Mullally,0,8,0,,280,15.56,79.55
23,13-01-1999,Sri Lanka,Sydney Cricket Ground,Yes,not out,16*,24,66.67,,296,16.44,78.72
24,15-01-1999,England,Melbourne Cricket Ground,Yes,did not bat,-,-,-,,296,16.44,78.72
25,24-01-1999,Sri Lanka,Adelaide Oval,Yes,not out,33*,28,117.86,,329,18.28,81.44
26,26-01-1999,England,Adelaide Oval,Yes,not out,59*,68,86.76,,388,21.56,82.2
27,31-01-1999,Sri Lanka,WACA Ground,No,c R S Mahanama b M Muralitharan,48,56,85.71,,436,22.95,82.58
28,05-02-1999,England,Sydney Cricket Ground,Yes,not out,38*,32,118.75,,474,24.95,84.64
29,07-02-1999,Sri Lanka,Melbourne Cricket Ground,Yes,c †R S Kaluwitharana b G P Wickramasinghe,18,20,90,,492,24.6,84.83
30,10-02-1999,England,Sydney Cricket Ground,Yes,c †A J Stewart b M A Ealham,21,38,55.26,,513,24.43,83.01
31,13-02-1999,England,Melbourne Cricket Ground,Yes,b A D Mullally,57,80,71.25,,570,25.91,81.66
32,14-04-1999,West Indies,National Cricket Stadium (Grenada),No,b R D King,28,49,57.14,,598,26,80.05
33,17-04-1999,West Indies,Queen's Park Oval,No,run out,29,38,76.32,,627,26.13,79.87
34,23-05-1999,Pakistan,Headingley,No,b Wasim Akram,18,25,72,,645,25.8,79.63
35,13-06-1999,South Africa,Headingley,No,c N Boje b S Elworthy,11,20,55,,656,25.23,79.04
36,26-08-1999,Sri Lanka,R Premadasa Stadium,Yes,b M Muralitharan,17,27,62.96,,673,24.93,78.53
37,21-10-1999,Zimbabwe,Queens Sports Club,No,not out,57*,38,150,,730,27.04,81.56
38,23-10-1999,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,730,27.04,81.56
39,24-10-1999,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,730,27.04,81.56
40,09-01-2000,Pakistan,Brisbane Cricket Ground,Yes,c Ijaz Ahmed b Abdul Razzaq,4,13,30.77,,734,26.21,80.84
41,12-01-2000,India,Melbourne Cricket Ground,Yes,c S R Tendulkar b A Kumble,30,45,66.67,,764,26.34,80.17
42,14-01-2000,India,Sydney Cricket Ground,Yes,not out,13*,33,39.39,,777,26.79,78.8
43,16-01-2000,Pakistan,Melbourne Cricket Ground,No,not out,39*,61,63.93,,816,28.14,77.94
44,19-01-2000,Pakistan,Sydney Cricket Ground,Yes,c Ijaz Ahmed b Wasim Akram,50,56,89.29,,866,28.87,78.51
45,23-01-2000,Pakistan,Melbourne Cricket Ground,Yes,not out,12*,13,92.31,,878,29.27,78.67
46,30-01-2000,India,WACA Ground,No,not out,19*,20,95,,897,29.9,78.96
47,02-02-2000,Pakistan,Melbourne Cricket Ground,Yes,not out,4*,15,26.67,,901,30.03,78.28
48,04-02-2000,Pakistan,Sydney Cricket Ground,Yes,not out,23*,15,153.33,,924,30.8,79.25
49,17-02-2000,New Zealand,Westpac Stadium,Yes,did not bat,-,-,-,,924,30.8,79.25
50,19-02-2000,New Zealand,Eden Park,Yes,not out,8*,14,57.14,,932,31.07,78.98
51,23-02-2000,New Zealand,Carisbrook,Yes,not out,1*,1,100,,933,31.1,79
52,26-02-2000,New Zealand,AMI Stadium,Yes,not out,29*,14,207.14,,962,32.07,80.5
53,01-03-2000,New Zealand,McLean Park,Yes,not out,4*,4,100,,966,32.2,80.57
54,03-03-2000,New Zealand,Eden Park,Yes,not out,116*,135,85.93,,1082,36.07,81.11
55,12-04-2000,South Africa,Kingsmead,Yes,run out,74,91,81.32,,1156,37.29,81.12
56,14-04-2000,South Africa,Newlands,Yes,b M Ntini,50,32,156.25,,1206,37.69,82.77
57,16-04-2000,South Africa,Wanderers Stadium,No,c †M V Boucher b S M Pollock,6,11,54.55,,1212,36.73,82.56
58,16-08-2000,South Africa,Etihad Stadium,Yes,did not bat,-,-,-,,1212,36.73,82.56
59,18-08-2000,South Africa,Etihad Stadium,Yes,b N Boje,18,32,56.25,,1230,36.18,82
60,20-08-2000,South Africa,Etihad Stadium,No,b R Telemachus,31,42,73.81,,1261,36.03,81.78
61,07-10-2000,India,Gymkhana Club Ground,No,b R R Singh,1,8,12.5,,1262,35.06,81.42
62,11-01-2001,West Indies,Melbourne Cricket Ground,Yes,run out,42,43,97.67,,1304,35.24,81.86
63,14-01-2001,West Indies,Brisbane Cricket Ground,Yes,did not bat,-,-,-,,1304,35.24,81.86
64,17-01-2001,West Indies,Sydney Cricket Ground,No,not out,21*,21,100,,1325,35.81,82.09
65,21-01-2001,Zimbabwe,Melbourne Cricket Ground,No,did not bat,-,-,-,,1325,35.81,82.09
66,26-01-2001,West Indies,Adelaide Oval,Yes,not out,69*,80,86.25,,1394,37.68,82.29
67,30-01-2001,Zimbabwe,Bellerive Oval,No,did not bat,-,-,-,,1394,37.68,82.29
68,04-02-2001,Zimbabwe,WACA Ground,No,not out,144*,149,96.64,,1538,41.57,83.45
69,07-02-2001,West Indies,Sydney Cricket Ground,Yes,run out,18,24,75,,1556,40.95,83.34
70,09-02-2001,West Indies,Melbourne Cricket Ground,Yes,not out,4*,3,133.33,,1560,41.05,83.42
71,25-03-2001,India,M Chinnaswamy Stadium,Yes,c †V Dahiya b V Sehwag,1,6,16.67,,1561,40.03,83.21
72,28-03-2001,India,Nehru Stadium (Pune),No,did not bat,-,-,-,,1561,40.03,83.21
73,31-03-2001,India,Nehru Stadium (Indore),No,c †V Dahiya b J Srinath,19,17,111.76,,1580,39.5,83.47
74,03-04-2001,India,Indira Priyadarshini Stadium,No,did not bat,-,-,-,,1580,39.5,83.47
75,09-06-2001,Pakistan,Sophia Gardens,No,did not bat,-,-,-,,1580,39.5,83.47
76,10-06-2001,England,County Ground (Bristol),No,b A D Mullally,46,57,80.7,,1626,39.66,83.38
77,14-06-2001,England,Old Trafford,Yes,not out,51*,79,64.56,,1677,40.9,82.65
78,19-06-2001,Pakistan,Trent Bridge,Yes,c Azhar Mahmood b Saqlain Mushtaq,2,4,50,,1679,39.98,82.59
79,23-06-2001,Pakistan,Lord's,No,did not bat,-,-,-,,1679,39.98,82.59
80,11-01-2002,New Zealand,Melbourne Cricket Ground,Yes,lbw b D L Vettori,24,49,48.98,,1703,39.6,81.8
81,13-01-2002,South Africa,Melbourne Cricket Ground,Yes,c N D McKenzie b J H Kallis,31,46,67.39,,1734,39.41,81.48
82,17-01-2002,New Zealand,Sydney Cricket Ground,Yes,run out,24,42,57.14,,1758,39.07,81.01
83,20-01-2002,South Africa,Brisbane Cricket Ground,Yes,not out,104*,121,85.95,,1862,41.38,81.27
84,22-01-2002,South Africa,Sydney Cricket Ground,No,not out,6*,3,200,,1868,41.51,81.43
85,26-01-2002,New Zealand,Adelaide Oval,Yes,c L Vincent b S E Bond,2,15,13.33,,1870,40.65,80.99
86,29-01-2002,New Zealand,Melbourne Cricket Ground,Yes,c C Z Harris b A R Adams,6,28,21.43,,1876,39.91,80.27
87,03-02-2002,South Africa,WACA Ground,No,c †M V Boucher b N Boje,29,54,53.7,,1905,39.69,79.67
88,22-03-2002,South Africa,Wanderers Stadium,No,b R Telemachus,24,56,42.86,,1929,39.37,78.83
89,24-03-2002,South Africa,SuperSport Park,No,c †M V Boucher b R Telemachus,42,49,85.71,,1971,39.42,78.97
90,27-03-2002,South Africa,Senwes Park,No,run out,35,58,60.34,,2006,39.33,78.54
91,30-03-2002,South Africa,Mangaung Oval,No,b N Boje,24,33,72.73,,2030,39.04,78.47
92,03-04-2002,South Africa,Kingsmead,Yes,not out,47*,44,106.82,,2077,39.94,78.94
93,06-04-2002,South Africa,St George's Park,No,c J N Rhodes b M Ntini,15,15,100,,2092,39.47,79.06
