,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,24-06-2001,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,0,,
2,27-06-2001,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,0,,
3,04-07-2001,West Indies,Harare Sports Club,No,did not bat,-,-,-,,0,,
4,07-07-2001,West Indies,Harare Sports Club,No,did not bat,-,-,-,,0,,
5,20-07-2001,New Zealand,R Premadasa Stadium,Yes,not out,2*,2,100,,2,,100
6,26-07-2001,New Zealand,R Premadasa Stadium,No,b D J Nash,2,14,14.29,,4,4,25
7,28-07-2001,Sri Lanka,R Premadasa Stadium,No,did not bat,-,-,-,,4,4,25
8,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,4,4,25
9,02-08-2001,New Zealand,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,4,4,25
10,05-08-2001,Sri Lanka,R Premadasa Stadium,Yes,not out,2*,10,20,,6,6,23.08
11,02-06-2002,West Indies,Queen's Park Oval,No,b C H Gayle,0,2,0,,6,3,21.43
12,30-06-2002,Sri Lanka,Kennington Oval,No,did not bat,-,-,-,,6,3,21.43
13,04-07-2002,England,Riverside Ground,Yes,did not bat,-,-,-,,6,3,21.43
14,06-07-2002,Sri Lanka,Edgbaston,No,did not bat,-,-,-,,6,3,21.43
15,09-07-2002,England,Kennington Oval,No,c R C Irani b A J Tudor,24,19,126.32,,30,10,63.83
16,11-07-2002,Sri Lanka,County Ground (Bristol),Yes,b C R D Fernando,3,6,50,,33,8.25,62.26
17,13-07-2002,England,Lord's,No,did not bat,-,-,-,,33,8.25,62.26
18,14-09-2002,Zimbabwe,R Premadasa Stadium,No,did not bat,-,-,-,,33,8.25,62.26
19,22-09-2002,England,R Premadasa Stadium,Yes,did not bat,-,-,-,,33,8.25,62.26
20,25-09-2002,South Africa,R Premadasa Stadium,Yes,not out,1*,1,100,,34,8.5,62.96
21,06-11-2002,West Indies,Keenan Stadium,No,did not bat,-,-,-,,34,8.5,62.96
22,09-11-2002,West Indies,Vidarbha Cricket Association Ground,No,not out,2*,2,100,,36,9,64.29
23,12-11-2002,West Indies,Madhavrao Scindia Cricket Ground,No,did not bat,-,-,-,,36,9,64.29
24,15-11-2002,West Indies,Sardar Patel Stadium,No,did not bat,-,-,-,,36,9,64.29
25,26-12-2002,New Zealand,Eden Park,Yes,not out,0*,2,0,,36,9,62.07
26,29-12-2002,New Zealand,McLean Park,No,not out,0*,0,-,,36,9,62.07
27,04-01-2003,New Zealand,Queenstown Events Centre,No,c †B B McCullum b A R Adams,0,10,0,,36,7.2,52.94
28,08-01-2003,New Zealand,Westpac Stadium,Yes,did not bat,-,-,-,,36,7.2,52.94
29,11-01-2003,New Zealand,Eden Park,Yes,not out,1*,1,100,,37,7.4,53.62
30,14-01-2003,New Zealand,Seddon Park,Yes,not out,2*,6,33.33,,39,7.8,52
31,19-02-2003,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,39,7.8,52
32,23-02-2003,Namibia,City Oval,No,did not bat,-,-,-,,39,7.8,52
33,26-02-2003,England,Kingsmead,Yes,did not bat,-,-,-,,39,7.8,52
34,01-03-2003,Pakistan,SuperSport Park,No,did not bat,-,-,-,,39,7.8,52
35,07-03-2003,Kenya,Newlands,Yes,did not bat,-,-,-,,39,7.8,52
,,,,,,,,,,,,
,,,,,,,,,,,,
