,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03-10-2000,Kenya,Gymkhana Club Ground,No,did not bat,-,-,-,,0,,
2,07-10-2000,Australia,Gymkhana Club Ground,No,c & b S Lee,84,80,105,,84,84,105
3,13-10-2000,South Africa,Gymkhana Club Ground,No,c J N Rhodes b J H Kallis,41,35,117.14,,125,62.5,108.7
4,15-10-2000,New Zealand,Gymkhana Club Ground,No,c R G Twose b S B Styris,18,19,94.74,,143,47.67,106.72
5,20-10-2000,Sri Lanka,Sharjah Cricket Stadium,Yes,b M Muralitharan,7,15,46.67,,150,37.5,100.67
6,22-10-2000,Zimbabwe,Sharjah Cricket Stadium,Yes,b T J Friend,34,39,87.18,,184,36.8,97.87
7,26-10-2000,Zimbabwe,Sharjah Cricket Stadium,Yes,c P A Strang b M Mbangwa,4,11,36.36,,188,31.33,94.47
8,27-10-2000,Sri Lanka,Sharjah Cricket Stadium,Yes,c T M Dilshan b M Muralitharan,7,17,41.18,,195,27.86,90.28
9,29-10-2000,Sri Lanka,Sharjah Cricket Stadium,Yes,c K C Sangakkara b W P U J C Vaas,3,8,37.5,,198,24.75,88.39
10,02-12-2000,Zimbabwe,Barabati Stadium,No,lbw b B A Murphy,11,6,183.33,,209,23.22,90.87
11,05-12-2000,Zimbabwe,Sardar Patel Stadium,No,c H H Streak b B A Murphy,17,16,106.25,,226,22.6,91.87
12,08-12-2000,Zimbabwe,Barkatullah Khan Stadium,No,c & b G W Flower,5,16,31.25,,231,21,88.17
13,14-12-2000,Zimbabwe,Madhavrao Scindia Cricket Ground,No,lbw b B A Murphy,29,23,126.09,,260,21.67,91.23
14,06-04-2001,Australia,Nehru Stadium (Margao),No,run out,19,21,90.48,,279,21.46,91.18
15,20-07-2001,New Zealand,R Premadasa Stadium,Yes,lbw b K D Mills,6,15,40,,285,20.36,88.79
16,22-07-2001,Sri Lanka,R Premadasa Stadium,Yes,c M Muralitharan b S A Perera,12,17,70.59,,297,19.8,87.87
17,26-07-2001,New Zealand,R Premadasa Stadium,No,c †A C Parore b C Z Harris,28,51,54.9,,325,20.31,83.55
18,28-07-2001,Sri Lanka,R Premadasa Stadium,No,did not bat,-,-,-,,325,20.31,83.55
19,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,No,not out,98*,110,89.09,,423,26.44,84.77
20,02-08-2001,New Zealand,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,423,26.44,84.77
21,05-08-2001,Sri Lanka,R Premadasa Stadium,Yes,b R P Arnold,6,6,100,,429,25.24,84.95
22,05-10-2001,South Africa,Wanderers Stadium,Yes,c G Kirsten b L Klusener,14,18,77.78,,443,24.61,84.7
23,10-10-2001,South Africa,SuperSport Park,Yes,b M Ntini,42,55,76.36,,485,25.53,83.91
24,12-10-2001,Kenya,Mangaung Oval,Yes,did not bat,-,-,-,,485,25.53,83.91
25,17-10-2001,Kenya,St George's Park,Yes,b A O Suji,0,1,0,,485,24.25,83.77
26,19-10-2001,South Africa,Buffalo Park,Yes,lbw b L Klusener,3,8,37.5,,488,23.24,83.13
27,24-10-2001,Kenya,Boland Park,Yes,not out,10*,8,125,,498,23.71,83.7
28,26-10-2001,South Africa,Kingsmead,Yes,c S M Pollock b J M Kemp,0,2,0,,498,22.64,83.42
29,16-03-2002,Zimbabwe,Lal Bahadur Shastri Stadium,Yes,not out,80*,60,133.33,,578,26.27,87.98
30,19-03-2002,Zimbabwe,Nehru Stadium (Guwahati),No,c T J Friend b D A Marillier,75,52,144.23,,653,28.39,92.1
31,29-05-2002,West Indies,Kensington Oval,No,did not bat,-,-,-,,653,28.39,92.1
32,01-06-2002,West Indies,Queen's Park Oval,No,c †R D Jacobs b P T Collins,1,6,16.67,,654,27.25,91.47
33,02-06-2002,West Indies,Queen's Park Oval,No,b C H Gayle,10,16,62.5,,664,26.56,90.83
34,29-06-2002,England,Lord's,No,not out,64*,65,98.46,,728,29.12,91.46
35,30-06-2002,Sri Lanka,Kennington Oval,No,c sub b C R D Fernando,31,44,70.45,,759,29.19,90.36
36,04-07-2002,England,Riverside Ground,Yes,not out,40*,19,210.53,,799,30.73,93.02
37,06-07-2002,Sri Lanka,Edgbaston,No,c U D U Chandana b C R D Fernando,37,68,54.41,,836,30.96,90.18
38,09-07-2002,England,Kennington Oval,No,st A J Stewart b R C Irani,5,13,38.46,,841,30.04,89.47
39,11-07-2002,Sri Lanka,County Ground (Bristol),Yes,lbw b T T Samaraweera,8,11,72.73,,849,29.28,89.27
40,13-07-2002,England,Lord's,No,c A J Tudor b P D Collingwood,69,63,109.52,,918,30.6,90.53
41,14-09-2002,Zimbabwe,R Premadasa Stadium,No,c S M Ervine b D T Hondo,3,7,42.86,,921,29.71,90.21
42,22-09-2002,England,R Premadasa Stadium,Yes,did not bat,-,-,-,,921,29.71,90.21
43,25-09-2002,South Africa,R Premadasa Stadium,Yes,c H H Gibbs b S M Pollock,62,72,86.11,,983,30.72,89.94
44,29-09-2002,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,983,30.72,89.94
45,30-09-2002,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,983,30.72,89.94
46,06-11-2002,West Indies,Keenan Stadium,No,c C H Gayle b C L Hooper,4,8,50,,987,29.91,89.65
47,09-11-2002,West Indies,Vidarbha Cricket Association Ground,No,c S Chanderpaul b V C Drakes,1,2,50,,988,29.06,89.57
48,12-11-2002,West Indies,Madhavrao Scindia Cricket Ground,No,did not bat,-,-,-,,988,29.06,89.57
49,15-11-2002,West Indies,Sardar Patel Stadium,No,c C L Hooper b M V Dillon,30,30,100,,1018,29.09,89.85
50,18-11-2002,West Indies,Reliance Stadium,No,c C L Hooper b C D Collymore,15,12,125,,1033,28.69,90.22
51,21-11-2002,West Indies,Barkatullah Khan Stadium,No,c R L Powell b C D Collymore,54,64,84.38,,1087,29.38,89.91
52,24-11-2002,West Indies,Indira Gandhi Stadium,No,b C H Gayle,68,69,98.55,,1155,30.39,90.38
53,26-12-2002,New Zealand,Eden Park,Yes,c N J Astle b J D P Oram,2,3,66.67,,1157,29.67,90.32
54,29-12-2002,New Zealand,McLean Park,No,st B B McCullum b D L Vettori,0,2,0,,1157,28.93,90.18
55,01-01-2003,New Zealand,AMI Stadium,Yes,run out,12,44,27.27,,1169,28.51,88.09
56,04-01-2003,New Zealand,Queenstown Events Centre,No,c D R Tuffey b S B Styris,25,61,40.98,,1194,28.43,86.02
57,08-01-2003,New Zealand,Westpac Stadium,Yes,c C Z Harris b D L Vettori,54,85,63.53,,1248,29.02,84.73
58,11-01-2003,New Zealand,Eden Park,Yes,c S P Fleming b C Z Harris,8,25,32,,1256,28.55,83.85
59,14-01-2003,New Zealand,Seddon Park,Yes,c L Vincent b S B Styris,33,58,56.9,,1289,28.64,82.84
60,12-02-2003,Netherlands,Boland Park,No,c & b Adeel Raja,37,56,66.07,,1326,28.83,82.26
61,15-02-2003,Australia,SuperSport Park,No,lbw b G D McGrath,0,8,0,,1326,28.21,81.85
62,19-02-2003,Zimbabwe,Harare Sports Club,No,c †T Taibu b B A Murphy,1,5,20,,1327,27.65,81.66
63,23-02-2003,Namibia,City Oval,No,not out,7*,7,100,,1334,27.79,81.74
64,26-02-2003,England,Kingsmead,Yes,c N Hussain b J M Anderson,42,38,110.53,,1376,28.08,82.4
65,01-03-2003,Pakistan,SuperSport Park,No,not out,50*,53,94.34,,1426,29.1,82.76
66,07-03-2003,Kenya,Newlands,Yes,not out,58*,64,90.63,,1484,30.29,83.04
67,10-03-2003,Sri Lanka,Wanderers Stadium,No,b W P U J C Vaas,5,6,83.33,,1489,29.78,83.05
68,14-03-2003,New Zealand,SuperSport Park,No,did not bat,-,-,-,,1489,29.78,83.05
69,20-03-2003,Kenya,Kingsmead,Yes,c D O Obuya b T M Odoyo,16,10,160,,1505,29.51,83.47
