,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,14-04-1994,Sri Lanka,Sharjah Cricket Stadium,No,did not bat,-,-,-,,0,,
2,16-04-1994,New Zealand,Sharjah Cricket Stadium,No,not out,39*,63,61.9,,39,,61.9
3,19-04-1994,India,Sharjah Cricket Stadium,No,c A Jadeja b A Kumble,25,30,83.33,,64,64,68.82
4,07-09-1994,Pakistan,Sinhalese Sports Club Ground,No,c Mushtaq Ahmed b Saleem Malik,37,73,50.68,,101,50.5,60.84
5,09-09-1994,India,R Premadasa Stadium,Yes,c N S Sidhu b A Kumble,26,40,65,,127,42.33,61.65
6,13-09-1994,Sri Lanka,P Sara Oval,No,not out,47*,54,87.04,,174,58,66.92
7,12-10-1994,South Africa,Gaddafi Stadium,No,run out,15,17,88.24,,189,47.25,68.23
8,14-10-1994,Pakistan,Ibn-e-Qasim Bagh Stadium,No,did not bat,-,-,-,,189,47.25,68.23
9,18-10-1994,South Africa,Iqbal Stadium,No,not out,36*,31,116.13,,225,56.25,73.05
10,22-10-1994,Pakistan,Rawalpindi Cricket Stadium,No,b Waqar Younis,22,37,59.46,,247,49.4,71.59
11,24-10-1994,South Africa,Arbab Niaz Stadium,No,c T G Shaw b P S De Villiers,45,56,80.36,,292,48.67,72.82
12,30-10-1994,Pakistan,Gaddafi Stadium,No,not out,53*,42,126.19,,345,57.5,77.88
13,02-12-1994,Zimbabwe,WACA Ground,Yes,c †W R James b H H Streak,30,81,37.04,,375,53.57,71.56
14,06-12-1994,England,Sydney Cricket Ground,Yes,c G A Gooch b D Gough,46,59,77.97,,421,52.63,72.21
15,08-12-1994,Zimbabwe,Bellerive Oval,No,not out,11*,15,73.33,,432,54,72.24
16,17-12-1995,West Indies,Adelaide Oval,No,not out,32*,27,118.52,,464,58,74.24
17,19-12-1995,West Indies,Melbourne Cricket Ground,Yes,not out,44*,41,107.32,,508,63.5,76.28
18,21-12-1995,Sri Lanka,Sydney Cricket Ground,Yes,not out,18*,16,112.5,,526,65.75,77.13
