,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,17-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,not out,0*,0,-,,0,,
2,19-04-1998,Australia,Sharjah Cricket Stadium,Yes,b S R Waugh,4,8,50,,4,4,50
3,20-04-1998,New Zealand,Sharjah Cricket Stadium,Yes,not out,3*,6,50,,7,7,50
4,22-04-1998,Australia,Sharjah Cricket Stadium,Yes,did not bat,-,-,-,,7,7,50
5,25-05-1998,Bangladesh,Wankhede Stadium,Yes,did not bat,-,-,-,,7,7,50
6,19-06-1998,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,7,7,50
7,23-06-1998,New Zealand,R Premadasa Stadium,Yes,did not bat,-,-,-,,7,7,50
8,01-07-1998,Sri Lanka,Sinhalese Sports Club Ground,No,st R S Kaluwitharana b S T Jayasuriya,0,1,0,,7,3.5,46.67
9,03-07-1998,New Zealand,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,7,3.5,46.67
10,07-07-1998,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,7,3.5,46.67
11,26-09-1998,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,7,3.5,46.67
12,27-09-1998,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,7,3.5,46.67
13,30-09-1998,Zimbabwe,Harare Sports Club,No,run out,2,4,50,,9,3,47.37
14,25-03-2001,Australia,M Chinnaswamy Stadium,Yes,c R T Ponting b I J Harvey,0,1,0,,9,2.25,45
15,28-03-2001,Australia,Nehru Stadium (Pune),No,not out,1*,1,100,,10,2.5,47.62
16,31-03-2001,Australia,Nehru Stadium (Indore),No,not out,9*,8,112.5,,19,4.75,65.52
17,03-04-2001,Australia,Indira Priyadarshini Stadium,No,c S Lee b G D McGrath,46,34,135.29,,65,13,103.17
18,06-04-2001,Australia,Nehru Stadium (Margao),No,did not bat,-,-,-,,65,13,103.17
19,24-06-2001,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,65,13,103.17
20,27-06-2001,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,65,13,103.17
21,04-07-2001,West Indies,Harare Sports Club,No,did not bat,-,-,-,,65,13,103.17
22,07-07-2001,West Indies,Harare Sports Club,No,b C H Gayle,12,11,109.09,,77,12.83,104.05
23,20-07-2001,New Zealand,R Premadasa Stadium,Yes,c & b C Z Harris,0,2,0,,77,11,101.32
24,22-07-2001,Sri Lanka,R Premadasa Stadium,Yes,c S T Jayasuriya b W P U J C Vaas,1,6,16.67,,78,9.75,95.12
25,26-07-2001,New Zealand,R Premadasa Stadium,No,b C Z Harris,6,16,37.5,,84,9.33,85.71
26,28-07-2001,Sri Lanka,R Premadasa Stadium,No,did not bat,-,-,-,,84,9.33,85.71
27,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,No,b M Muralitharan,4,3,133.33,,88,8.8,87.13
28,02-08-2001,New Zealand,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,88,8.8,87.13
29,05-08-2001,Sri Lanka,R Premadasa Stadium,Yes,c R P Arnold b M Muralitharan,15,28,53.57,,103,9.36,79.84
30,10-10-2001,South Africa,SuperSport Park,Yes,lbw b S M Pollock,15,14,107.14,,118,9.83,82.52
31,12-10-2001,Kenya,Mangaung Oval,Yes,did not bat,-,-,-,,118,9.83,82.52
