,Date,Versus,Ground,D/N*,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,03-10-2000,Kenya,Gymkhana Club Ground,No,did not bat,-,-,-,,0,,
2,07-10-2000,Australia,Gymkhana Club Ground,No,not out,13*,13,100,,13,,100
3,13-10-2000,South Africa,Gymkhana Club Ground,No,did not bat,-,-,-,,13,,100
4,15-10-2000,New Zealand,Gymkhana Club Ground,No,did not bat,-,-,-,,13,,100
5,20-10-2000,Sri Lanka,Sharjah Cricket Stadium,Yes,not out,1*,1,100,,14,,100
6,22-10-2000,Zimbabwe,Sharjah Cricket Stadium,Yes,not out,4*,3,133.33,,18,,105.88
7,26-10-2000,Zimbabwe,Sharjah Cricket Stadium,Yes,did not bat,-,-,-,,18,,105.88
8,27-10-2000,Sri Lanka,Sharjah Cricket Stadium,Yes,b S T Jayasuriya,6,8,75,,24,24,96
9,29-10-2000,Sri Lanka,Sharjah Cricket Stadium,Yes,c †R S Kaluwitharana b W P U J C Vaas,1,14,7.14,,25,12.5,64.1
10,02-12-2000,Zimbabwe,Barabati Stadium,No,did not bat,-,-,-,,25,12.5,64.1
11,05-12-2000,Zimbabwe,Sardar Patel Stadium,No,did not bat,-,-,-,,25,12.5,64.1
12,08-12-2000,Zimbabwe,Barkatullah Khan Stadium,No,not out,32*,11,290.91,,57,28.5,114
13,11-12-2000,Zimbabwe,Green Park,No,did not bat,-,-,-,,57,28.5,114
14,25-03-2001,Australia,M Chinnaswamy Stadium,Yes,not out,1*,2,50,,58,29,111.54
15,28-03-2001,Australia,Nehru Stadium (Pune),No,b G D McGrath,15,10,150,,73,24.33,117.74
16,31-03-2001,Australia,Nehru Stadium (Indore),No,not out,7*,7,100,,80,26.67,115.94
17,03-04-2001,Australia,Indira Priyadarshini Stadium,No,c S R Waugh b G D McGrath,29,28,103.57,,109,27.25,112.37
18,06-04-2001,Australia,Nehru Stadium (Margao),No,not out,0*,0,-,,109,27.25,112.37
19,24-06-2001,Zimbabwe,Harare Sports Club,No,did not bat,-,-,-,,109,27.25,112.37
20,27-06-2001,Zimbabwe,Queens Sports Club,No,did not bat,-,-,-,,109,27.25,112.37
21,30-06-2001,West Indies,Queens Sports Club,No,did not bat,-,-,-,,109,27.25,112.37
22,07-07-2001,West Indies,Harare Sports Club,No,b C H Gayle,0,1,0,,109,21.8,111.22
23,20-07-2001,New Zealand,R Premadasa Stadium,Yes,c C D McMillan b D L Vettori,2,6,33.33,,111,18.5,106.73
24,22-07-2001,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,111,18.5,106.73
25,26-07-2001,New Zealand,R Premadasa Stadium,No,not out,11*,14,78.57,,122,20.33,103.39
26,28-07-2001,Sri Lanka,R Premadasa Stadium,No,did not bat,-,-,-,,122,20.33,103.39
27,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,No,not out,3*,8,37.5,,125,20.83,99.21
28,02-08-2001,New Zealand,Sinhalese Sports Club Ground,No,did not bat,-,-,-,,125,20.83,99.21
29,05-08-2001,Sri Lanka,R Premadasa Stadium,Yes,b W P U J C Vaas,16,33,48.48,,141,20.14,88.68
30,07-03-2002,Zimbabwe,Nahar Singh Stadium,No,did not bat,-,-,-,,141,20.14,88.68
31,10-03-2002,Zimbabwe,Punjab Cricket Association IS Bindra Stadium,Yes,did not bat,-,-,-,,141,20.14,88.68
32,13-03-2002,Zimbabwe,Nehru Stadium (Kochi),No,c D A Marillier b D T Hondo,2,13,15.38,,143,17.88,83.14
33,16-03-2002,Zimbabwe,Lal Bahadur Shastri Stadium,Yes,did not bat,-,-,-,,143,17.88,83.14
34,19-03-2002,Zimbabwe,Nehru Stadium (Guwahati),No,did not bat,-,-,-,,143,17.88,83.14
35,29-05-2002,West Indies,Kensington Oval,No,did not bat,-,-,-,,143,17.88,83.14
36,01-06-2002,West Indies,Queen's Park Oval,No,b C L Hooper,7,16,43.75,,150,16.67,79.79
37,02-06-2002,West Indies,Queen's Park Oval,No,c P T Collins b M V Dillon,4,2,200,,154,15.4,81.05
38,29-06-2002,England,Lord's,No,did not bat,-,-,-,,154,15.4,81.05
39,30-06-2002,Sri Lanka,Kennington Oval,No,did not bat,-,-,-,,154,15.4,81.05
40,04-07-2002,England,Riverside Ground,Yes,did not bat,-,-,-,,154,15.4,81.05
41,06-07-2002,Sri Lanka,Edgbaston,No,did not bat,-,-,-,,154,15.4,81.05
42,09-07-2002,England,Kennington Oval,No,c D Gough b A Flintoff,2,7,28.57,,156,14.18,79.19
43,11-07-2002,Sri Lanka,County Ground (Bristol),Yes,b C R D Fernando,0,1,0,,156,13,78.79
44,13-07-2002,England,Lord's,No,not out,4*,7,57.14,,160,13.33,78.05
45,14-09-2002,Zimbabwe,R Premadasa Stadium,No,did not bat,-,-,-,,160,13.33,78.05
46,22-09-2002,England,R Premadasa Stadium,Yes,did not bat,-,-,-,,160,13.33,78.05
47,25-09-2002,South Africa,R Premadasa Stadium,Yes,c G C Smith b S M Pollock,0,3,0,,160,12.31,76.92
48,29-09-2002,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,160,12.31,76.92
49,30-09-2002,Sri Lanka,R Premadasa Stadium,Yes,did not bat,-,-,-,,160,12.31,76.92
50,26-12-2002,New Zealand,Eden Park,Yes,lbw b D L Vettori,14,20,70,,174,12.43,76.32
51,29-12-2002,New Zealand,McLean Park,No,c C D McMillan b K D Mills,11,13,84.62,,185,12.33,76.76
52,01-01-2003,New Zealand,AMI Stadium,Yes,not out,8*,19,42.11,,193,12.87,74.23
53,04-01-2003,New Zealand,Queenstown Events Centre,No,c †B B McCullum b D R Tuffey,1,6,16.67,,194,12.13,72.93
54,08-01-2003,New Zealand,Westpac Stadium,Yes,not out,34*,42,80.95,,228,14.25,74.03
55,11-01-2003,New Zealand,Eden Park,Yes,run out,1,2,50,,229,13.47,73.87
56,14-01-2003,New Zealand,Seddon Park,Yes,c †B B McCullum b S B Styris,5,15,33.33,,234,13,72
57,12-02-2003,Netherlands,Boland Park,No,lbw b T B M de Leede,0,2,0,,234,12.32,71.56
58,15-02-2003,Australia,SuperSport Park,No,lbw b D S Lehmann,1,9,11.11,,235,11.75,69.94
59,19-02-2003,Zimbabwe,Harare Sports Club,No,not out,13*,8,162.5,,248,12.4,72.09
60,23-02-2003,Namibia,City Oval,No,did not bat,-,-,-,,248,12.4,72.09
61,26-02-2003,England,Kingsmead,Yes,run out,0,0,-,,248,11.81,72.09
62,01-03-2003,Pakistan,SuperSport Park,No,did not bat,-,-,-,,248,11.81,72.09
63,07-03-2003,Kenya,Newlands,Yes,did not bat,-,-,-,,248,11.81,72.09
64,10-03-2003,Sri Lanka,Wanderers Stadium,No,did not bat,-,-,-,,248,11.81,72.09
65,14-03-2003,New Zealand,SuperSport Park,No,did not bat,-,-,-,,248,11.81,72.09
66,20-03-2003,Kenya,Kingsmead,Yes,did not bat,-,-,-,,248,11.81,72.09
